"Bug ID","Component","Assignee","Summary","Number of Comments","Votes","Depends on","Classification","Blocks","Hardware","Iteration","Keywords"
1020257,"Developer Tools: WebIDE","21@vingtetun.org","Dispatch hud events on the main window for system app related events",14,0,1015894,"Client Software",1022724,"All","---",
1058759,"General","abhishekp.bugzilla@gmail.com","Change default URL of about:home snippets service",18,0,,"Client Software","1040928, 1046297","All",35.2,
1005471,"Developer Tools: Scratchpad","adrian.aichner@gmail.com","Scratchpad ""Jump to line"" should preset input value based on current selection, handle LINE:COLUMN as well",76,0,1009996,"Client Software",,"All","---",
1018586,"Developer Tools: Debugger","adrian.aichner@gmail.com","Pretty Print  should indent switch statement like CodeMirror and MDN Coding Style",11,0,1020587,"Client Software",,"All","---",
1058183,"Developer Tools: Source Editor","adrian.aichner@gmail.com","Expose code folding as an option for all editor instances",52,0,,"Client Software",,"All","---",
1067141,"Developer Tools: Scratchpad","adrian.aichner@gmail.com","Scratchpad Open File uses fallbackCharsetList on UTF-8 NS_ERROR_ILLEGAL_INPUT",21,0,,"Client Software",,"x86","---",
1019989,"Search","adw@mozilla.com","ContentSearch should pass images as shared ArrayBuffers instead of data URI strings",8,0,1027303,"Client Software","1004429, 1077174","All","---",
1019990,"New Tab Page","adw@mozilla.com","about:newtab preloader should load content.js",17,0,1029735,"Client Software",1004429,"All","---",
1019991,"New Tab Page","adw@mozilla.com","about:newtab should lazily build its search panel popup",5,0,,"Client Software",1004429,"All","---",
1020156,"Sync","adw@mozilla.com","Need a way to have about:accounts open with a default email address.",15,0,,"Client Software",999910,"All",36.2,
1027303,"Search","adw@mozilla.com","Certain image URIs in search plugins break ContentSearch",8,0,,"Client Software",1019989,"All","---",
1029735,"Search","adw@mozilla.com","ContentSearch sometimes leaks event listeners and their closures",8,0,,"Client Software",1019990,"All",33.2,
1073692,"Search","adw@mozilla.com","Search suggestions popup on about:home/about:newtab should show each result according to its text direction",4,0,,"Client Software",612453,"All",35.3,
1087120,"Search","adw@mozilla.com","Intermittent browser_ContentSearch.js | Checking message - Structures begin differing at:",5,0,,"Client Software",,"x86_64","---","intermittent-failure"
1082970,"Sync","akligman@mozilla.com","Sync no longer shows login failed notification bar on user-initiated sync",18,0,,"Client Software",1045046,"All",36.1,
334050,"Bookmarks & History","akshendra521994@gmail.com","Add a test for queries against multiple folders",34,1,,"Client Software",437245,"All","---",
515196,"Toolbars and Customization","akshendra521994@gmail.com","Full Screen Toolbar Autohide Sensitivity",45,0,,"Client Software",,"All","---",
989326,"Developer Tools","akshendra521994@gmail.com","Loader.jsm should neither flush nor perform main thread I/O",34,0,,"Client Software",,"All","---","main-thread-io"
979041,"Toolbars and Customization","alex.bardas@gmail.com","Make new tab button move at the beginning of the customize mode transition",41,0,1089591,"Client Software",873060,"x86",35.1,
990799,"Search","alex.bardas@gmail.com","Update search plugins to use rel=""searchform""",13,1,557665,"Client Software","958188, 959576, 1065997, 1100670, 1100672","All",35.2,
1044577,"Search","alex.bardas@gmail.com","Create proof-of-concept hotfix add-on for overriding the list of known alternate domains for search engines",30,0,1040721,"Client Software",,"All",34.3,
1052750,"Location Bar","alex.bardas@gmail.com","Intermittent browser_urlbarSearchSingleWordNotification.js | Test timed out | Found a browser window after previous test timed out",19,0,,"Client Software",1048513,"All",34.2,"intermittent-failure"
1053939,"Sync","alex.bardas@gmail.com","pass entry point to fxa content server when opening about:accounts",38,0,"1066394, 1101162","Client Software",969007,"All",35.1,
1054600,"Search","alex.bardas@gmail.com","Refactor AboutHomeListener & browser.js document URI checks (followup from bug 1041678)",11,0,1056152,"Client Software",1041678,"All",34.3,
1058412,"General","alex.bardas@gmail.com","Add access keys to disable/re-enable tracking protection doorhanger",10,0,1043801,"Client Software",1029886,"All",35.2,
1063698,"General","alex.bardas@gmail.com","Add action to UITour.jsm for opening the Reset Firefox dialog",9,0,,"Client Software","862998, 1027318, 1062345, 1087854","All",35.2,
1065525,"General","alex.bardas@gmail.com","Add configuration to UITour.jsm for determining the user's Firefox build information",22,0,1070138,"Client Software","862998, 935719, 939470, 1027318, 1062345, 1087854","All",35.2,
1068660,"Downloads Panel","alex.bardas@gmail.com","Implement confirmation dialog shown before unblocking downloads",26,0,"1053890, 1063105, 1068656","Client Software",1062966,"All",36.1,
1070138,"General","alex.bardas@gmail.com","only send version number in ""appinfo"" payload",13,0,,"Client Software",1065525,"All",35.2,
1082130,"Sync","alex.bardas@gmail.com","browser_967000_button_sync|tabview.js fails when running as a standalone directory",12,0,,"Client Software",1057512,"All",36.1,
1036297,"Developer Tools: Inspector","alexey.novak.mail@gmail.com","markupview updateNodeOuterHTML method jsdoc is incorrect and should return a promise",21,0,,"Client Software",,"All","---",
1010959,"Developer Tools: Inspector","alexharris6@gmail.com","Move themes/*/devtools/computedview.css into themes/shared/devtools/computedview.css",13,0,956044,"Client Software",896733,"All","---",
1011173,"Developer Tools: Framework","alexharris6@gmail.com","Get rid of background-noise-toolbar.png and it's references (in the devtools/ directory only)",38,0,1009145,"Client Software",,"All","---",
1011624,"Developer Tools","alexharris6@gmail.com","Move themes/*/devtools/inspector.css into themes/shared/devtools/inspector.css",16,0,,"Client Software","896733, 1015627","All","---",
975804,"Developer Tools","aljullu@gmail.com","DevTools themes - Use border-image instead of background-image for separators and borders",25,0,,"Client Software",916766,"All","---",
1051526,"Developer Tools","aljullu@gmail.com","DevTools Themes: remove padding from sidebar tabs",6,0,,"Client Software",916766,"All","---",
1059376,"Developer Tools: Inspector","aljullu@gmail.com","DevTools themes - Arrow color doesn't match the info bar color",11,0,1096575,"Client Software",916766,"All","---",
1100463,"Developer Tools: Framework","aljullu@gmail.com","DevTools Themes Toolbar: Inspector toolbar button has 1px offset when active",7,0,,"Client Software",,"All","---",
930863,"General","ally@mozilla.com","update  CharsetLoadListener() to be e10s compliant",8,0,,"Client Software","653064, 997456, 1001699","All","---",
1004533,"Menus","ally@mozilla.com","Guard all e10s testing UI behind an E10S_TESTING_ONLY ifdef",17,1,1016834,"Client Software",653064,"x86_64","---",
1063669,"General","ally@mozilla.com","disable e10s when IME is being used",40,1,975260,"Client Software",1063680,"All","---",
1011581,"Bookmarks & History","althaf.mozilla@gmail.com","Remove parameter aFileExt from methods in PlacesBackup.jsm",8,0,,"Client Software",818587,"All","---",
1006027,"Developer Tools: Console","amarchesini@mozilla.com","console input/output timestamps OK, message timestamps always incorrect",38,0,1016024,"Client Software",,"All","---",
961832,"Developer Tools: Graphic Commandline and Toolbar","amarok@enconn.fr","GCLI screenshot shows fixed position element in wrong position",26,0,,"Client Software",,"x86_64","---",
1034619,"Developer Tools: Graphic Commandline and Toolbar","amarok@enconn.fr","Add comment for bug 961832",7,0,,"Client Software",,"All","---",
963042,"Session Restore","andreaio.it@hotmail.it","Save state when docShells are swapped",18,0,,"Client Software",,"All","---",
